year,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,coal_co2,cement_co2,gas_co2,oil_co2,cement_co2_per_capita,coal_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,share_global_cement_co2,share_global_coal_co2,share_global_gas_co2,share_global_oil_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_gas_co2,cumulative_oil_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,population,gdp,Access to electricity (% of population),Agricultural land (% of land area),Agricultural land (sq. km),"Agriculture, forestry, and fishing, value added (% of GDP)",Arable land (% of land area),CO2 emissions (kg per 2015 US$ of GDP),CO2 emissions (kg per 2017 PPP $ of GDP),CO2 emissions (kg per PPP $ of GDP),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (% of total),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (% of total),CO2 emissions from solid fuel consumption (kt),CO2 intensity (kg per kg of oil equivalent energy use),Cereal yield (kg per hectare),Electric power consumption (kWh per capita),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),"Electricity production from renewable sources, excluding hydroelectric (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy use (kg of oil equivalent per capita),"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)","Foreign direct investment, net inflows (% of GDP)",Forest area (% of land area),Forest area (sq. km),Methane emissions (% change from 1990),Methane emissions (kt of CO2 equivalent),"Mortality rate, under-5 (per 1,000 live births)",Nitrous oxide emissions (% change from 1990),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Other greenhouse gas emissions (% change from 1990),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),"Population, total",Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Total greenhouse gas emissions (% change from 1990),Total greenhouse gas emissions (kt of CO2 equivalent),Urban population,Urban population (% of total population),Urban population growth (annual %),iso_code,country
2011,5540.173,-2.39,-135.613,17.781,16.07,369215.704,26.84,0.357,1903.555,32.208,1327.528,2201.747,0.103,6.109,4.261,7.066,2.4,12.88,20.81,19.42,2393.776,162996.401,62814.483,138198.709,8.08,24.83,34.47,28.41,311584051.0,15509302195602.5,100.0,44.27875838,4050364.0,1.216487537,17.09356299,0.312076172,0.303503454,0.332769697,5172100.0,16.59940374,25.21346985,1304065.874,40.44100976,2091649.466,35.35906576,1828806.24,2.361239109,6803.5,13245.88193,43.34576409,7.43610219,24.15858976,18.98484619,0.913504375,4.789611326,207229000000.0,7029.954601,128.5356713,1.695323307,33.77947006,3089950.0,-19.24094272,628090.0,7.2,-10.57952433,254860.0,120.2306897,2913.90625,0.726786705,44.68818037,311583481.0,12.22571352,8.364199638,2.4319561871878506,7.098335072,6214430.0,252208133.0,80.944,0.939505411,USA,United States
2012,5338.698,-3.64,-201.475,17.0,15.26,374554.402,26.55,0.337,1684.037,35.27,1388.255,2152.124,0.112,5.362,4.421,6.853,2.56,11.26,21.33,18.72,2429.047,164680.437,64202.738,140350.833,7.83,24.53,34.02,28.19,314043885.0,15849635251847.4,100.0,44.06499907,4030810.538,1.158828949,16.94548845,0.292116395,0.284091971,0.305624977,4950210.0,15.77114462,27.57733696,1365136.092,41.25014797,2041968.95,32.84811101,1626050.476,2.294977009,5911.9,12964.18794,38.47985569,6.521155808,29.60867118,18.75791991,0.774312765,5.486241256,234311000000.0,6872.027284,123.7885914,1.545625032,33.80953318,3092700.0,-21.6152562,618150.0,7.1,-12.94972396,245810.0,120.2306897,-1686.90625,0.733599941,44.87690558,313877662.0,12.00739706,8.728099823,2.6447101596165368,3.385655837,5968740.0,254614421.0,81.119,0.949565508,USA,United States
2013,5474.257,2.54,135.558,17.302,15.52,380028.659,26.28,0.34,1740.833,36.369,1427.506,2184.125,0.115,5.502,4.512,6.903,2.53,11.57,21.79,18.85,2465.416,166421.27,65630.245,142534.958,7.6,24.24,33.61,27.97,316400539.0,16108428789894.6,100.0,44.12468215,4036270.0,1.333513679,17.00516648,0.294903661,0.28680267,0.303219882,5089500.0,16.10295784,27.35440061,1392202.219,40.73118719,2073013.772,32.46881908,1652500.547,2.331869935,7300.9,13004.02357,39.94314124,6.317909904,27.02176802,19.17383116,0.859739209,6.320009218,270946000000.0,6905.598633,122.9925674,1.716613576,33.8395963,3095450.0,-30.190562388040945,618410.0,7.0,35.63533975955306,246720.0,-474.6869948986569,64461.45313,0.692860277,45.08868693,316059947.0,12.63791912,9.083299637,0.997099996,-23.16303376949384,6108670.0,256953576.0,81.299,0.914510414,USA,United States
2014,5522.807,0.89,48.55,17.331,15.54,385551.466,26.02,0.335,1734.526,39.439,1455.804,2201.176,0.124,5.443,4.568,6.907,2.64,11.52,21.86,18.92,2504.855,168155.796,67086.049,144736.134,7.38,23.97,33.22,27.77,318673422.0,16482662331867.2,100.0,44.18436018,4041729.0,1.185571018,17.06484451,0.28837723,0.28045552,0.291124114,5102580.0,16.02637907,28.22880974,1440397.6,40.71265589,2077395.837,32.34290004,1650322.349,2.302414401,7638.1,12993.96558,39.65073269,6.053798474,26.88796144,19.2302385,0.923259081,6.900028617,298023000000.0,6960.683997,121.8093147,1.436946698,33.86965942,3098200.0,-31.32382658449538,620810.0,6.9,40.363211854582914,246480.0,-477.0449461909957,3348.703125,0.73336152,45.2892734,318386329.0,12.95382709,9.220499992,1.004230022,-24.41918878230092,6129040.0,259430732.0,81.483,0.959430782,USA,United States
2015,5371.771,-2.73,-151.037,16.741,15.13,390923.236,25.77,0.318,1504.946,39.907,1495.321,2239.49,0.124,4.69,4.66,6.979,2.78,10.23,22.04,18.85,2544.762,169660.741,68581.37,146975.624,7.19,23.69,32.86,27.57,320878312.0,16902578824808.6,100.0,44.24402728,4047187.0,1.043866452,17.12451161,0.273204731,0.265699809,0.273408549,4982790.0,15.53534211,29.78564039,1484155.911,42.79826196,2132547.517,29.15700636,1452832.397,2.283267175,7430.0,15038.301213028484,34.23273373,5.84163826,31.94216122,19.32377763,0.90380652,7.386954951,317421000000.0,6803.996607,116.3682517,2.80417574,33.89972254,3100950.0,-26.521467200475527,617170.0,6.8,52.59491901971319,242640.0,-457.1052951338224,29416.03125,0.736217309,45.49497184,320738994.0,13.22859321,9.033900261,1.005079985,-24.41715215439456,6003650.0,261950744.0,81.671,0.966674782,USA,United States
2016,5248.024,-2.3,-123.747,16.247,14.8,396171.26,25.52,0.306,1379.744,39.439,1502.475,2246.524,0.122,4.271,4.651,6.955,2.67,9.61,21.56,18.78,2584.201,171040.485,70083.845,149222.148,7.01,23.41,32.49,27.38,323015992.0,17162557226290.5,100.0,44.30370531,4052646.0,0.94398888,17.18418964,0.263532354,0.256293132,0.261215619,4888640.0,15.13174682,30.65384688,1498556.22,43.51014497,2127054.351,27.07141387,1323423.967,1.28924247499684,8614.3,14641.096448179676,29.27498843198009,24.847928368045476,32.063344654556204,9.31426710723008,6.242056449310326,-0.5233110789747084,118278542518.54578,5632.0509249084325,133.1919415128625,2.53073398,33.89972254,3100950.0,-18.760985735299045,609200.0,6.7,21.40267458110077,248510.0,-462.7260443773303,37873.39063,0.724676067,45.71325556,323071755.0,7.080988425661587,9.456299782,0.996259987,-11.165427657014789,5907270.0,264473000.0,81.862,0.958268061,USA,United States
2017,5207.751,-0.77,-40.273,16.02,14.5,401379.012,25.27,0.296,1338.667,40.324,1480.059,2265.326,0.124,4.118,4.553,6.968,2.69,9.26,20.8,18.67,2624.525,172379.152,71563.904,151487.474,6.84,23.14,32.12,27.19,325084758.0,17596283630286.2,100.0,44.36336735,4058103.538,0.949806072,17.24385674,0.253578463,0.246612674,0.246612674,4813720.0,14.80588242,13.090163469701906,1126333.2327373251,53.26812206987927,2002252.9725213256,26.51669891416799,1705776.879810378,1.2711108507561946,8781.1,14327.519257549648,40.260353546889576,23.583405339790204,21.083271542210014,16.61546325123811,-0.0929967932807755,-0.2262830233642243,120544818951.00696,5423.270993957393,167.90114374522148,1.948643533,33.86692641,3097950.0,-41.32863631531208,614500.0,6.7,-22.549842572771013,249290.0,-683.5984750634871,161769.25490758056,0.632643995,45.98061194,325122128.0,29.58427100723975,9.919099808,0.993629992,-27.628718274243795,5842800.0,266788716.0,82.058,0.87178526,USA,United States
2018,5375.491,3.22,167.739,16.434,14.67,406754.502,25.03,0.296,1283.532,38.971,1641.041,2316.811,0.119,3.924,5.017,7.083,2.49,8.72,22.01,19.01,2663.495,173662.684,73204.945,153804.284,6.67,22.86,31.79,27.02,327096263.0,18140645383318.5,100.0,44.36336735,4058103.538,0.920560058,17.24385674,0.254772132,0.247773553,0.242043796,4981300.0,15.24087458,12.634889266459084,1210395.1260822318,51.67159568232228,2096189.527691868,25.37987126329577,1709776.138590393,1.3506592400177908,8691.6,14565.039262509725,38.84135996812876,22.85773376278217,22.32567462949112,16.319345490342698,1.0602824350303592,-0.2754473785148768,122474542253.25568,5682.641983542741,156.91147754883082,1.039765408,33.86692641,3097950.0,-38.60816526626948,622590.0,6.6,-17.280992443595665,250060.0,-613.9057131472691,175937.68133736728,0.526435396,46.30452605,326838199.0,23.259310843077916,10.10719967,0.994700015,-22.194261424916533,6023620.0,268844029.0,82.256,0.76743743,USA,United States
2019,5255.816,-2.23,-119.674,15.972,14.32,412010.318,24.79,1.864003815505104,1098.854,40.896,1694.894,2313.372,0.124,3.339,5.151,7.03,2.54,7.54,22.44,18.92,2704.391,174761.538,74899.839,156117.656,6.51,22.57,31.49,26.85,329064917.0,9725833234684.031,100.0,46.72238794451354,4054437.128746184,0.916865221,17.89652253206414,0.1865100251694869,0.2949305753151523,0.1322374621020428,4723620.090864532,8.209376570368107,14.24704891575982,1129285.6752753193,54.00458464516987,1912804.4494269216,26.29956102163706,1726774.7763607395,1.196236132389842,7097.640148437742,14202.618446270855,41.19731094941153,26.797917141240703,20.890252401870384,15.921092945997202,-3.346782109618601,-0.1017551183542375,124315288983.00316,5434.698893479985,173.64221896369577,1.409955825,33.86692641,3097950.0,-51.37723566625832,607170.6348431113,6.5,-32.90301880243226,200753.31347327144,-706.3578550986658,248109.22729635375,0.455381286,46.47373339,328329953.0,39.43123329435667,41.83490260732691,0.994910002,-37.84504983764498,5878789.118759801,270737596.0,82.459,0.701867775,USA,United States
2020,4712.771,-10.33,-543.046,14.238,13.54,416723.089,24.56,1.873356996354459,888.649,40.795,1654.988,2020.538,0.123,2.685,5.0,6.104,2.51,6.36,22.37,18.25,2745.186,175650.187,76554.828,158138.194,6.36,22.28,31.22,26.68,331002647.0,9792292149311.9,100.0,46.7261556393817,4047707.86588421,-0.1654519477207752,17.870116376159075,0.1775659939541402,0.2778332850243949,0.1171074109916021,4739490.050829824,8.25744014246115,14.290664129210995,1148281.0020612178,53.80492014498952,1898010.7071978832,26.105555059963848,1727483.813394966,1.2000159896154372,7142.6135788332085,14166.896437790296,41.08118094199045,27.302965446072903,21.52402153918115,15.364036437358893,-3.806932288512044,-0.1196793167629577,125794468913.59802,5398.515785886734,169.29994604037307,9.947469619652338,33.86692641,3097950.0,-53.36652719576459,599103.8336641919,1.5178052903802524,-34.25358607979592,196331.9043612753,-660.6531776688043,247686.1315021985,0.350911063,46.69711475,329484123.0,41.32224634004103,43.26867093401637,2.4765526550893355,-37.97093614087197,5882385.774052821,272364755.0,82.664,0.599210762,USA,United States
