year,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,coal_co2,cement_co2,gas_co2,oil_co2,cement_co2_per_capita,coal_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,share_global_cement_co2,share_global_coal_co2,share_global_gas_co2,share_global_oil_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_gas_co2,cumulative_oil_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,population,gdp,Access to electricity (% of population),Agricultural land (% of land area),Agricultural land (sq. km),"Agriculture, forestry, and fishing, value added (% of GDP)",Arable land (% of land area),CO2 emissions (kg per 2015 US$ of GDP),CO2 emissions (kg per 2017 PPP $ of GDP),CO2 emissions (kg per PPP $ of GDP),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (% of total),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (% of total),CO2 emissions from solid fuel consumption (kt),CO2 intensity (kg per kg of oil equivalent energy use),Cereal yield (kg per hectare),Electric power consumption (kWh per capita),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),"Electricity production from renewable sources, excluding hydroelectric (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy use (kg of oil equivalent per capita),"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)","Foreign direct investment, net inflows (% of GDP)",Forest area (% of land area),Forest area (sq. km),Methane emissions (% change from 1990),Methane emissions (kt of CO2 equivalent),"Mortality rate, under-5 (per 1,000 live births)",Nitrous oxide emissions (% change from 1990),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Other greenhouse gas emissions (% change from 1990),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),"Population, total",Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Total greenhouse gas emissions (% change from 1990),Total greenhouse gas emissions (kt of CO2 equivalent),Urban population,Urban population (% of total population),Urban population growth (annual %),iso_code,country
2011,1780.13,6.09,102.242,1.424,5.16,33477.897,2.43,0.314,1091.465,91.314,136.364,458.909,0.073,0.873,0.109,0.367,6.8,7.38,2.14,4.05,1384.07,21712.968,1281.76,8948.905,4.67,3.31,0.7,1.84,1250287939.0,5675666756800.0,67.6,60.43004315,1796700.0,17.19197356,52.79817301,1.089335158,0.319925202,0.313399825,1760800.0,1.408315593,5.193320025,91443.979,23.42731508,412508.164,68.76645462,1210839.733,2.436555663,2860.7,696.8426815,66.75997826,13.36223263,10.62719164,3.00473879,2.245155118,3.954730228,42495000000.0,577.9944263,131.3022339,2.002065552,23.46382169,697624.0,22.43199656,653590.0,55.1,39.70965103,244530.0,243.2754796,-185113.8906,1.288512962,13.87071079,1250287939.0,17.31696286,40.57720184,0.998529971,103.8996171,2671200.0,391040056.0,31.276,2.400957295,IND,India
2012,1963.586,10.31,183.456,1.551,5.61,35441.483,2.51,0.33,1247.112,100.237,125.605,488.554,0.079,0.985,0.099,0.386,7.27,8.34,1.93,4.25,1484.307,22960.08,1407.365,9437.459,4.79,3.42,0.75,1.9,1265780243.0,5949387825048.0,79.9,60.42062566,1796420.0,16.84537707,52.65253818,1.119661355,0.328831657,0.310177441,1908570.0,1.507820975,4.094746538,78151.104,22.81065096,435357.241,71.44345143,1363548.281,2.516576537,2963.5,723.2369166,71.63605506,11.08936476,7.613470116,2.926497419,2.037845188,4.643608605,52150000000.0,599.1556198,130.6662651,1.312934337,23.55342242,700288.0,23.88375936,650410.0,52.0,41.36628721,241950.0,243.2754796,-165148.3906,1.231484894,14.06131206,1265780243.0,15.73297336,39.34609985,1.003399968,116.4448552,2814000.0,400416922.0,31.634,2.369630953,IND,India
2013,2036.937,3.74,73.351,1.59,5.77,37478.42,2.59,0.322,1320.664,107.82,110.689,495.642,0.084,1.031,0.086,0.387,7.49,8.78,1.69,4.28,1592.127,24280.745,1518.054,9933.102,4.91,3.54,0.78,1.95,1280842119.0,6320316113568.0,80.73804474,60.43946065,1796980.0,17.14842354,52.61755892,1.084566258,0.318524631,0.303636382,1966810.0,1.535560059,5.180161175,101883.928,23.44776165,461172.921,67.42655442,1326152.215,2.534788993,2969.9,764.2011341,72.52273811,12.3886605,5.241437102,2.874003318,1.956334092,4.960653326,59079000000.0,605.7940378,125.6612016,1.516275965,23.64302315,702952.0,115.08114984833075,653530.0,49.1,-301.73949814052287,241810.0,10701.83716069359,-176528.2031,1.182904215,14.26399408,1280842119.0,17.34931383,38.18289948,1.07249999,404.857818472964,2875980.0,409907903.0,32.003,2.342619835,IND,India
2014,2185.856,7.31,148.919,1.687,6.15,39664.276,2.68,0.324,1447.723,115.825,109.468,511.166,0.089,1.117,0.084,0.394,7.75,9.61,1.64,4.39,1707.951,25728.467,1627.522,10444.268,5.03,3.67,0.81,2.0,1295600768.0,6754741200528.0,83.58521271,60.44719645,1797210.0,16.79193451,52.62462204,1.097049305,0.322190758,0.315125066,2136870.0,1.649327519,4.33785986,92694.426,23.90953947,510915.776,69.62558523,1487808.243,2.590952711,2960.4,804.5163493,74.49218587,11.08015726,4.636533553,2.790639431,1.767435892,5.173682559,66931000000.0,636.571834,124.352234,1.695658786,23.73262388,705616.0,125.74116958493585,653670.0,46.2,-343.7803792469291,243620.0,11860.420487093834,-176513.4219,1.145673402,14.4775828,1295600768.0,16.25383982,36.05379868,1.069620013,449.41319579525,3048790.0,419567353.0,32.384,2.329156081,IND,India
2015,2268.567,3.78,82.712,1.732,6.39,41932.844,2.76,0.312,1487.726,117.508,106.871,554.789,0.09,1.136,0.082,0.424,8.18,10.11,1.57,4.67,1825.459,27216.193,1734.393,10999.057,5.16,3.8,0.83,2.06,1310152392.0,7259602584350.0,88.0,60.43138851,1796740.0,16.17450811,52.6088141,1.022167929,0.300198959,0.300318514,2150220.0,1.641198393,4.603916436,98994.332,27.87231748,599316.145,69.20933398,1488152.941,1.166868031806004,2856.7,-366.6006163907566,75.30939896,9.982039098,4.923196173,104.6064239743692,1.659503516,5.361011248,74143000000.0,631.2323954867172,-1163.3023334966133,2.092115758,23.82222461,708280.0,144.67854831648566,652000.0,43.5,-389.05721890626046,246030.0,13930.348851066934,-254017.2031,1.116895913,14.7012624,1310152392.0,15.34305035,34.39590073,1.070180058,512.3755044911959,3063650.0,429428650.0,32.777,2.323153578,IND,India
2016,2382.223,5.01,113.656,1.799,6.72,44315.067,2.85,0.307,1530.271,123.281,113.622,613.166,0.093,1.155,0.086,0.463,8.34,10.66,1.63,5.13,1948.741,28746.464,1848.015,11612.222,5.29,3.93,0.86,2.13,1324517250.0,7767449564875.0,89.53488159,60.43138851,1796740.0,16.36380056,52.6088141,0.958728391,0.281567497,0.282259796,2183280.0,1.648359053,4.389254287,95829.711,29.72391649,648956.324,69.46453016,1516605.194,2.32445015506131,3008.0,1106.7632786090733,-94.54892037615424,172.81610387118164,72.98787257027814,-57.65133350476881,2.165453054306475,0.3918731147965459,2000476499.652968,653.8480152359862,-1532.0988867123342,1.937363198,23.91182535,710944.0,-6.093848331822869,657690.0,40.9,547.3681654172544,245150.0,-14256.26340441942,-333368.1094,1.090459321,14.93507593,1324517250.0,1347.1355669743225,33.56290054,1.095190048,-271.92612910122125,3103110.0,439501314.0,33.182,2.318510266,IND,India
2017,2433.856,2.17,51.633,1.818,6.77,46748.923,2.94,0.294,1561.224,121.047,118.922,631.087,0.09,1.166,0.089,0.471,8.07,10.8,1.67,5.2,2069.788,30307.687,1966.937,12243.31,5.4,4.07,0.88,2.2,1338676779.0,8275647103924.94,92.45683289,60.43138851,1796740.0,16.5583314,52.6088141,0.946309783,0.277920295,0.277920295,2301440.0,1.7191902,13.897729958101696,196517.93856576624,-45.93972322131948,709144.935710564,101.97702934032353,1855597.5727167928,2.0060519010934392,3162.6,1238.1284875964018,-172.63936295070727,233.7519333405268,86.5787327424255,-48.53783237019114,-2.550412749628528,0.7215112895428122,2050568816.1038065,672.493704042844,-1807.6025083234492,1.507316581,24.00142608,713608.0,-9.812692857599984,661610.0,38.5,606.2320491194465,248300.0,-15437.040550209063,-508526.2571405012,1.06335943,15.17952565,1338676779.0,1494.118714174601,32.21210098,1.084020019,-289.5548629354912,3229920.0,449795398.0,33.6,2.315210138,IND,India
2018,2599.806,6.82,165.95,1.922,7.09,49348.729,3.04,0.294,1677.771,138.965,126.201,655.19,0.103,1.24,0.093,0.484,8.87,11.4,1.69,5.37,2208.753,31985.458,2093.138,12898.5,5.53,4.21,0.91,2.27,1352642283.0,8835757694781.25,95.19329834,60.43138851,1796740.0,15.97015748,52.6088141,0.939643053,0.275962353,0.268424377,2434520.0,1.799825446,14.863340579212554,212222.71786339057,-53.03644382927564,750416.796545906,105.16578967922186,1975004.9758302248,2.0702031894554977,3247.9,1318.5550257574762,-198.97591718623767,257.476492501289,94.4933938041761,-53.311226718929845,-3.387794314918459,0.7589558145393454,2100413262.199284,696.6802372825268,-1996.6050637353744,1.559263523,24.09102681,716272.0,-11.732153489003764,666510.0,36.3,663.5391019859645,253790.0,-16913.1799815213,-544560.995020272,1.037827848,15.43479585,1352642283.0,1640.697245658965,31.68919945,0.4822121556223173,-320.23241306474256,3374990.0,460304169.0,34.03,2.309469966,IND,India
2019,2625.968,1.01,26.162,1.922,7.15,51974.697,3.13,1.533458923859624,1677.934,143.664,128.68,674.011,0.105,1.228,0.094,0.493,8.93,11.51,1.7,5.51,2352.417,33663.393,2221.818,13572.511,5.66,4.35,0.93,2.33,1366417756.0,3021174373134.273,97.81528473,61.2393569932311,1820738.145523767,16.6774624,53.77591202298268,0.2207861677150226,-4.499223346885173,-5.122995942593649,565512.0363813803,0.2809617333605789,-5.343957670655804,-32604.645248108747,1.444688210225845,216103.05516899005,124.59287112383552,478587.1303492498,1.1743242654343256,2432.0806760180694,277.98321764281053,-184.35365695420185,269.02455256823663,35.23318034587151,-42.871186411551065,20.744554156942836,0.2894991288567172,2149933498.4614563,299.89911618162967,-2169.1113470168207,1.763127508,24.18062754,718936.0,-76.10485541573436,410947.1092479595,34.3,297.603264297562,141223.04896444484,-16996.31658404931,109776.29392602204,1.013261249,15.67452077,1366417756.0,1652.0537777908105,-245.5085418879944,1.020169973,-594.4781126109997,967874.0091424535,471031529.0,34.472,2.303752441,IND,India
2020,2441.792,-7.01,-184.176,1.769,7.02,54416.489,3.21,1.5319336080094748,1587.552,122.908,126.984,602.67,0.089,1.15,0.092,0.437,7.56,11.36,1.72,5.44,2475.325,35250.945,2348.802,14175.181,5.73,4.47,0.96,2.39,1380004385.0,3056885389464.057,725.2790124720267,60.963811638769336,1813011.9913688328,18.31898773,53.25101685198503,0.214971717286847,-4.939309512205647,-5.616551945449637,564000.660972728,0.2401771790359834,-5.705063931649317,-33748.480213086645,-1.7131742268906862,220613.5223018157,130.26752225357336,492834.5586217527,1.1992848663101583,2460.6244449502738,282.5648287191635,-208.4345416264838,292.65504753838053,38.68686486978468,-47.09864471219075,21.770537375538613,0.2947283944183976,2199318178.275709,294.6388462136384,-2390.818413003842,3.086392209788933,24.27022827,721600.0,-83.4920665921305,396961.66198435467,-107.74115940275846,330.0700051265716,137851.44456552033,-18713.91701637329,115546.7972266416,0.9894138,15.91952818,1380004385.0,1806.0285326038795,-276.2929892796683,1.007380009,-652.0417055984772,932066.334110258,481980332.0,34.926,2.297827591,IND,India
