Country Name,Year,CO2 emissions (metric tons per capita),CO2 emissions (kt),Urban population (% of total population),Population growth (annual %),Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Methane emissions (kt of CO2 equivalent),CO2 intensity (kg per kg of oil equivalent energy use),Energy use (kg of oil equivalent per capita)
Caribbean small states,82000,212.897077772467,1394100.7261442356,2033.66798979,31.83963732799998,2033594.7028122707,-15881.036443913188,452168.0264959079,93.33538592747344,114444.6782830755
Cayman Islands,82000,301.8171638519793,864613.9867885235,4100.0,144.55314797399998,2355893.5845420016,511844.97568602185,689763.2873200091,97.93890424378553,141886.0121555896
Chad,82000,3.385655837813374,65511.838295681475,877.016,131.20967695,1620476.4954823386,59883.47073671319,995179.9662756617,61.73363761521306,5598.285021482956
Chile,82000,132.65807045939644,1977652.1898356136,3496.787,52.973506807,2863520.4985005334,1877.0178190512888,554414.6561614696,90.0002008252789,63650.385328241624
China,82000,152.78335776526274,188467198.34857348,1559.2469999999998,36.946517843999985,244170902.6072466,-5499053.098334633,36403760.33826057,117.38188464988976,54382.20512799171
Colombia,82000,69.3850036756009,2371475.734324757,3015.9860000000003,65.946363818,6098806.557762425,522525.4076580479,2431415.1948297503,91.29246614206653,34370.83067501102
Comoros,82000,9.05733419649276,48249.629624158064,1128.5220000000002,107.277808051,182218.9828051906,44024.65274351751,59371.74770076739,77.54973652636784,7381.053330510417
"Congo, Dem. Rep.",82000,6.423238130098323,138188.97981204133,1454.1570000000002,124.98509006300002,12208860.090764683,9412256.86478587,1557378.2774765585,16.00296228535615,15764.613665136434
"Congo, Rep.",82000,41.75042542423618,165513.3443311035,2404.7160000000003,116.17245224999998,881828.3735852605,435199.11213059805,168307.88652434343,110.06968740854002,19579.065662913963
Costa Rica,82000,59.33179652564447,252010.3558124213,2488.5760000000005,78.37379566099999,588264.161233033,37563.79630735904,207795.09316859875,75.89971345039892,35132.193802037975
Cote d'Ivoire,82000,20.921052981506136,286654.2918931763,1783.0729999999999,123.31497603900004,2121136.152358955,1110732.9198830717,557546.5059642798,44.565045214128496,20861.915447672553
Croatia,82000,162.60533652385107,744192.18162,2173.25,-12.689515729,1328483.145142269,109535.35331580047,191570.6773464945,90.24296132403828,75059.1255885937
Cuba,82000,110.45227989603717,1154749.4472346406,3054.695,14.570707831999997,2010429.730067673,27805.418512256147,531971.9907182656,91.80654275937222,53018.302041451985
Cyprus,82000,255.85631354911465,284223.04896925087,2737.221999999999,57.40847610899999,431415.8392091406,42842.78128372028,70553.36976443033,132.32630296852267,82214.48782648102
Czech Republic,82000,452.71084697109313,5383689.101693241,3045.65,3.8740532149999996,6427174.8809222635,-147460.09062629048,696300.3065222539,112.59254318216692,173365.56079129386
Denmark,82000,392.01226750684765,2083871.920876735,3512.8339999999994,13.072835559000003,2835066.839823287,42156.4184409599,365589.11492780165,115.11045196506366,141392.99850267812
Djibouti,82000,32.65982930506634,67502.24467790147,3127.110999999999,107.83354951699998,205038.56098999246,19806.320816526717,67806.58673737191,86.5209077937814,28321.10070223412
Dominica,82000,75.9682880322629,55351.34550386023,2615.442000000001,-4.041352674000002,164827.93713474547,35348.01136013356,49575.595589721954,103.95593788073086,38853.76682019961
Dominican Republic,82000,78.20028485309803,648355.6939039043,2642.1139999999996,64.84651775999998,1138391.0242434687,38672.272098729256,328898.85160051694,98.92874349350534,35451.281978025756
Ecuador,82000,84.22253582272624,1029972.9951448665,2395.591,81.82626534,1923750.1619270116,49104.1286371824,689679.2974254736,112.45996379302221,33546.72359013153
"Egypt, Arab Rep.",82000,74.37803904908655,5161748.72271632,1769.0969999999998,88.42291221800001,7777541.119114467,-4842.399936844024,1649177.803300013,105.25604300900719,30461.843655885536
El Salvador,82000,40.17135810474794,241144.11275682753,2380.1459999999997,36.312998579999984,544413.2843417178,33670.66379805698,189156.35324242947,57.99433842395496,29890.981121119035
Equatorial Guinea,82000,179.786520472063,198500.75445370545,2045.195,175.75147083699997,595919.7773021879,112228.12472874294,336460.62710430915,89.45535358506838,69814.69231872127
Eritrea,82000,25.86000862395831,65624.83403516476,1241.8400062559683,76.82933956716482,392669.28740260506,41524.211284244746,162213.93764025948,50.262865201287674,16072.17214719726
Estonia,82000,437.1683965091896,974504.8171307652,2851.566,-9.815438026999999,1464604.5764570553,206673.2617773759,118151.18794801466,121.78341920566267,147461.43377300398
Eswatini,82000,36.76327012810082,77337.41418905895,878.747,71.36390513500002,275886.4320465882,64094.78368958395,103935.14718601177,75.57850826736758,15346.712931954293
Ethiopia,82000,3.38713089202686,246753.33062762977,620.9990000000001,120.40095963599998,3893005.415424006,100861.590301268,2361707.7095235963,13.314593432285177,19085.24689098736
Faroe Islands,82000,168.9927802025458,706116.0601495054,1492.5359999999996,12.923431330999998,2743556.736845338,842285.0662965168,788189.1748480534,89.95309188807767,70227.59015704277
Fiji,82000,53.66721603905185,86775.71516791102,1935.7279999999996,36.616476727,246322.41773738092,47231.05613862502,78767.10972194385,86.20616553640714,28269.21851353068
Finland,82000,422.4250017310086,2180079.987728888,3324.6379999999995,14.908534787999999,2830212.114798351,-44772.60689278665,321424.616703852,77.81295875149316,233372.99762441317
France,82000,246.3368460201168,14441277.472678006,3130.6940000000004,20.469515645999998,20002297.7504842,58666.1203046858,2883706.6516123875,70.31418178231071,152438.71247562734
French Polynesia,82000,134.87165596137683,759492.5676114024,2405.5619999999994,63.585349832999995,2490304.3277530195,617656.3393525339,755908.7468248624,88.50813308371177,64326.01275842252
Gabon,82000,181.23600761415202,248088.7533354329,3145.078,114.428286296,462130.12808046245,46154.11691980231,109449.74132119026,110.55671381778649,76250.23096964843
"Gambia, The",82000,15.238013038527107,61301.765184696844,1921.03,136.56471728099996,252232.9224592913,46200.62533512993,110597.92456861501,75.64400623366188,14509.552978103926
Georgia,82000,104.53392642371085,547862.3991410616,2247.1220000000003,-17.633526684,1165330.4660672538,79542.72108014113,300582.61629464664,81.93506762916402,50010.24735401491
Germany,82000,407.3228473769584,34530516.54957943,3076.025,6.340692066,40894415.533624895,-207105.8485221066,3684203.2549954965,104.6588460736129,167536.55541654615
Ghana,82000,18.676422302058715,322924.1315158598,1791.9990000000003,105.62990845700001,1134738.9687703697,159332.24464991112,455150.67357503355,44.55695138815087,17989.933805022636
Gibraltar,82000,291.467837064971,1263749.290680004,4100.0,11.031639740000001,1574069.875227186,49312.89778276909,224717.84138601169,99.39937767911013,137065.23619605042
Greece,82000,296.2046974254446,3106484.3270583996,3025.504,11.533713471000004,4023582.106250989,134645.83225126466,425715.2113077692,134.96313467696098,93261.54366238619
Greenland,82000,247.76699387624961,818393.5725052506,3358.6109999999994,12.789304713,2555149.6132168537,680391.8644704055,719525.0895791546,108.24160871567852,113802.72756278343
Grenada,82000,80.86941786948657,53118.62268560031,1430.8099999999997,23.895637918000006,230484.12549266312,39262.04504032746,105966.520432371,89.40145693115096,34345.33894806699
Guam,82000,252.28800270734666,840941.5198537483,3819.1270000000004,50.52403703699999,2329930.845698757,485835.00528010685,703217.0469041849,107.6697211335302,119312.83436789802
Guatemala,82000,32.542670469103165,385100.1720526038,1854.5990000000004,91.96703167000004,971772.7061762785,68775.15532032744,352598.36790491943,51.92567790320759,26522.41115139003
Guinea,82000,10.422358597085573,108491.53797754021,1263.4869999999999,101.015076804,1198580.075058808,462420.74076858995,435701.5477091494,69.04397143219836,9401.172505607065
Guinea-Bissau,82000,10.481912911997318,54433.8985888937,1415.5229999999997,93.226264293,237772.13992821565,41212.83972423455,91574.4660160852,74.64656899194824,9702.451846645992
